,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
12,ДАД,0.04812166761059049,-0.2809386199141844,0.02677987433315955,-0.3132024937168844
13,Пульс,0.0349411150390858,-0.29896594793967685,0.016529725059052414,-0.3375112752998418
23,КА,0.044485938680949876,0.285460439510801,0.04199079791503782,0.2887416418450623
27,СРБ,0.037640333789872665,-0.29486625366181635,0.06687509156289528,-0.26124318042841566
37,Лептин 1 час (нг/мл) 0 мес,0.055265491834625695,-0.3135259375306482,0.034548071641289896,-0.3438284883744324
45,PRDM16 0 мес,0.5155071960747435,0.154478372839945,0.0492468610621943,0.4450750017184313
50,miR378 (ПЖТ) 0 мес,0.04539655552805062,-0.5062547360265238,0.10488906067509608,-0.42045501283241044
51,miR142 (ПЛАЗМА) 0 мес,0.040991025390893734,0.38177339901477825,0.42178383647555,0.15509085921906185
74,sST2/Лептин 0 мес,0.9064488893421451,0.02093520806839437,0.022346820823695157,0.39067260053280145
75,"ЭхоКГ Ао, мм, 0 мес",0.14836946866372097,0.31118024190100313,0.0015747443152954702,0.6207380776570837
80,"ММ ЛЖ (LVM), г, 0 мес",0.7944902579508252,0.05747506123396286,0.038510082985958614,0.43404790789814324
82,"КДР, мм, 0 мес",0.4228723792057272,0.17560152703242166,0.00937466906333543,0.5294549818059239
83,"КДО, мл, 0 мес",0.0373979418033956,0.4363100046915363,0.0014092563003230518,0.6256247064808982
84,"КСО, мл, 0 мес",0.07079703412061325,0.38356899914012577,0.0009824576231566157,0.6409642524794027
85,"УО, мл, 0 мес",0.2837374510671476,0.24534551137226354,0.008658856244550341,0.5574099729810771
86,"ФВ,% Симпсон, 0 мес",0.04289701882017372,-0.42559673116063884,0.058251656823632855,-0.40050638718572007
91,"TAVS, см/с, 0 мес",0.009772052148127151,-0.5269943388089927,0.02348596275383204,-0.47044232311848183
105,"AIx (P2/P1) mmHg, 0 мес",0.03738590779294526,-0.44620165574838644,0.046970903427882404,-0.4278912385392586
121,Алкоголь В1.,0.022190866630999288,0.3700938847615024,0.014519191971395326,0.3934965941501088
